id,name,titles_count,headquarters,origin_country,homepage,tmdb_url
"1","Lucasfilm Ltd.","104","San Francisco, California","US","https://www.lucasfilm.com","https://www.themoviedb.org/company/1"
"2","Walt Disney Pictures","382","Burbank, California","US","https://movies.disney.com","https://www.themoviedb.org/company/2"
"3","Pixar","135","Emeryville, California","US","http://www.pixar.com","https://www.themoviedb.org/company/3"
"4","Paramount Pictures","2836","Hollywood, California","US","https://www.paramountpictures.com/movies","https://www.themoviedb.org/company/4"
"5","Columbia Pictures","2988","Culver City, California","US","http://www.sonypictures.com","https://www.themoviedb.org/company/5"
"6","RKO Radio Pictures","1143","New York City","US","","https://www.themoviedb.org/company/6"
"7","DreamWorks Pictures","130","Universal City, California","US","","https://www.themoviedb.org/company/7"
"8","Fine Line Features","42","","US","","https://www.themoviedb.org/company/8"
"9","Gaumont","769","Neuilly sur Seine","FR","http://www.gaumont.fr","https://www.themoviedb.org/company/9"
"10","Highlight","","","","","https://www.themoviedb.org/company/10"
"11","WingNut Films","29","Wellington, New Zealand ","NZ","","https://www.themoviedb.org/company/11"
"12","New Line Cinema","431","Burbank, California","US","","https://www.themoviedb.org/company/12"
"14","Miramax","302","Los Angeles, California","US","https://www.miramax.com","https://www.themoviedb.org/company/14"
"15","Lama Films","14","Palestine","PS","","https://www.themoviedb.org/company/15"
"16","United King Films","119","Ramat-Asharon","IL","http://www.unitedking.co.il","https://www.themoviedb.org/company/16"
"17","Warner Bros. Entertainment","55","Burbank, California","US","","https://www.themoviedb.org/company/17"
"18","Gracie Films","34","Los Angeles, California","US","http://www.graciefilms.com/","https://www.themoviedb.org/company/18"
"19","Film Roman","40","Toluca Lake, California","US","https://filmroman.com/","https://www.themoviedb.org/company/19"
"20","Rough Draft Studios","6","","US","https://www.roughdraftstudios.com/","https://www.themoviedb.org/company/20"
"21","Metro-Goldwyn-Mayer","2862","Beverly Hills, California","US","http://www.mgm.com/","https://www.themoviedb.org/company/21"
"22","Alejandro González Iñárritu","","","","","https://www.themoviedb.org/company/22"
"23","Imagine Entertainment","161","Beverly Hills, California","US","http://imagine-entertainment.com","https://www.themoviedb.org/company/23"
"24","Mikona Productions","5","","DE","","https://www.themoviedb.org/company/24"
"25","20th Century Fox","1674","Century City, California","US","http://www.foxmovies.com/","https://www.themoviedb.org/company/25"
"26","Agustin Almodovar","","","","","https://www.themoviedb.org/company/26"
"28","Newmarket Films","9","Los Angeles, California","US","","https://www.themoviedb.org/company/28"
"29","Topcraft","11","","JP","","https://www.themoviedb.org/company/29"
"30","Eddie Murphy Productions","27","","US","","https://www.themoviedb.org/company/30"
"31","Hamburger Filmschule","1","Berlin, Germany","DE","https://www.filmschule-hamburg-berlin.de/","https://www.themoviedb.org/company/31"
"32","Buena Vista Pictures","17","","","","https://www.themoviedb.org/company/32"
"33","Universal Pictures","2754","Universal City, California","US","http://www.universalpictures.com/","https://www.themoviedb.org/company/33"
"34","Sony Pictures","149","Culver City, California","US","http://www.sonypictures.com/","https://www.themoviedb.org/company/34"
"35","Lions Gate Films","84","","US","","https://www.themoviedb.org/company/35"
"37","Gramercy Pictures","36","Universal City, California","US","","https://www.themoviedb.org/company/37"
"38","Studio Filmowe Tor","117","Warsaw","PL","http://www.tor.com.pl","https://www.themoviedb.org/company/38"
"39","Docurama","5","","","","https://www.themoviedb.org/company/39"
"40","Akira Committee Production","","","","","https://www.themoviedb.org/company/40"
